County,Agency
Tompkins,Groton Vg PD
Suffolk,Amityville Vg PD
Lewis,Lewis County State Police
Jefferson,Jefferson County Park PD
Fulton,Johnstown City PD
Erie,Tonawanda City PD
Rockland,Rockland County Park PD
Saratoga,Waterford Town and Vg PD
Schoharie,SUNY College At Cobleskill
Westchester,New Rochelle City PD
Cayuga,Moravia Vg PD
Orange,Orange County (RR-MN)
Onondaga,Cicero Town PD
Suffolk,Southold Town PD
Nassau,Hempstead Vg PD
Rockland,Piermont Vg PD
Ulster,Ulster County Park PD
Hamilton,Hamilton County Sheriff
Cattaraugus,Cattaraugus County State Police
Ulster,Saugerties Town PD
Greene,Athens Vg PD
Onondaga,Marcellus Vg PD
Monroe,East Rochester Vg PD
Ulster,Ulster County Sheriff
Onondaga,Geddes Town PD
Dutchess,Fishkill Vg PD
Erie,SUNY - Buffalo
Orange,Crawford Town PD
Madison,Madison County State Police
Bronx,County Total
Allegany,Belmont Vg PD
Westchester,Pelham Manor Vg PD
Broome,Broome County (RR-RC) 
Oswego,Central Square Vg PD
Ontario,Ontario County Park PD
Rockland,Haverstraw Vg PD
Chenango,Sherburne Vg PD
Westchester,Mount Kisco Vg PD
Westchester,Ossining Town PD
Saratoga,South Glens Falls Vg PD
Warren,County Total
Tioga,Tioga County State Police
Madison,Chittenango Vg PD
Washington,Washington County Sheriff
Lewis,County Total
Chautauqua,Dunkirk City PD
Albany,Watervliet City PD
Erie,Erie County Sheriff
Erie,SUNY College At Buffalo
Wayne,County Total
Fulton,Gloversville City PD
Orange,Woodbury Town PD
Rensselaer,Rensselaer Poly Tech Police
Westchester,Dobbs Ferry Vg PD
Westchester,Ardsley Vg PD
Steuben,County Total
Washington,Fort Edward Vg PD
Westchester,Westchester County State Police
Westchester,Yorktown Town PD
Livingston,Livingston County Park PD
Rockland,Haverstraw Town PD
Rockland,Spring Valley Vg PD
Schenectady,Schenectady County Sheriff
Orange,Chester Town PD
Wyoming,Wyoming County Sheriff
Cattaraugus,County Total
Erie,Hamburg Town PD
Onondaga,Onondaga County Sheriff
Steuben,Cohocton Town PD
Albany,Albany County (RR-RC)
Herkimer,Webb Town PD
Allegany,Angelica Vg PD
Seneca,Interlaken Vg PD
Ontario,Ontario County (RR-RC)
Franklin,Tupper Lake Vg PD
St Lawrence,County Total
Dutchess,Hyde Park Town PD
Hamilton,Hamilton County Sheriff
Schuyler,Watkins Glen Vg PD
Chenango,Oxford Vg PD
Rensselaer,Rensselaer County Sheriff
Orange,Monroe Vg PD
Ontario,Ontario County State Police
Allegany,Independence Town PD
Franklin,County Total
Suffolk,Quogue Vg PD
Chautauqua,Dunkirk City PD
Dutchess,County Total
Schenectady,Rotterdam Town PD
Oneida,Vernon Vg PD
Nassau,Oyster Bay Cove Vg PD
Nassau,Sands Point Vg PD
Herkimer,Frankfort Town PD
Fulton,Fulton County State Police
Rensselaer,County Total
Monroe,SUNY College At Brockport
Montgomery,Fort Plain Vg PD
Onondaga,Camillus Town and Vg PD
Genesee,Genesee County (RR-RC)
Erie,Depew Vg PD
Rockland,Orangetown Town PD
Chenango,Chenango County Park PD
Washington,Fort Edward Vg PD
Oneida,Rome City PD
Dutchess,Dutchess County State Police
Westchester,Elmsford Vg PD
Delaware,Colchester Town PD
Onondaga,North Syracuse Vg PD
Onondaga,Onondaga County (RR-RC)
Cattaraugus,Cattaraugus County Park PD
Orleans,Holley Vg PD
Erie,Erie County (RR-CSX)
St Lawrence,St Lawrence County Park PD
Greene,Cairo Town PD
Chautauqua,County Total
Oswego,Oswego County Park PD
Dutchess,Hyde Park Town PD
Madison,Madison County (RR-RC)
Ulster,Rosendale Town PD
Putnam,Putnam County MTA
Schuyler,Schuyler County Sheriff
Monroe,Greece Town PD
St Lawrence,County Total
Erie,Erie County Sheriff
Broome,Special Investigator Task Force
Westchester,Eastchester Town PD
Westchester,Pound Ridge Town PD
Chenango,Chenango County Park PD
Schuyler,Watkins Glen Vg PD
Tompkins,Ithaca City PD
Orange,Tuxedo Park Vg PD
Wayne,Wayne County State Police
Orange,New Windsor Town PD
Livingston,Avon Vg PD
Nassau,Old Brookville Vg PD
Erie,County Total
Niagara,Niagara County Sheriff
Westchester,Mount Kisco Vg PD
Orange,Washingtonville Vg PD
Clinton,Clinton County Park PD
Erie,East Aurora-Town Of Aurora PD
Erie,East Aurora-Town Of Aurora PD
Nassau,Rockville Centre Vg PD
Orange,New Windsor Town PD
Westchester,Croton-Kensico PCT (NYC-BWSP)
Schuyler,County Total
Sullivan,Woodridge Vg PD
St Lawrence,SUNY College at Potsdam
Suffolk,Suffolk County Park PD
Cattaraugus,Cattaraugus County State Police
Seneca,Seneca Falls Town PD
Dutchess,Wappingers Falls Vg PD
Columbia,County Total
Westchester,Mount Kisco Vg PD
Herkimer,Frankfort Town PD
Herkimer,Herkimer Vg PD
Albany,Ravena Vg PD
Oswego,Oswego County Sheriff
Chemung,Chemung County (RR-RC) 
Dutchess,East Fishkill Town PD
Fulton,Johnstown City PD
Wayne,Clyde Vg PD
Oswego,Phoenix Vg PD
Washington,Washington County State Police
Niagara,Middleport Vg PD
Steuben,Steuben County State Police
Niagara,Niagara County (RR-RC)
Monroe,Rochester City PD
Erie,SUNY - Buffalo
Washington,Whitehall Vg PD
Dutchess,County Total
Greene,Greene County Sheriff
Onondaga,Cicero Town PD
Onondaga,Syracuse City PD
Essex,Lake Placid Vg PD
Schuyler,Schuyler County Sheriff
Onondaga,SUNY College-Env. Science and Forestry
Chemung,Chemung County Sheriff
Suffolk,Lloyd Harbor Vg PD
Monroe,Brockport Vg PD
Cattaraugus,Cattaraugus County Park PD
Yates,Yates County Sheriff
Westchester,Westchester County Park PD
Yates,Yates County State Police
Monroe,County Total
Monroe,Irondequoit Town PD
Seneca,County Total
Orange,Orange County State Police
Orange,Wallkill Town PD
Onondaga,Syracuse City PD
Lewis,Lewis County State Police
Monroe,SUNY College At Brockport
Broome,Johnson City Vg PD
Washington,Washington County State Police
Allegany,Alfred Vg PD
Nassau,Port Washington Police District
Yates,Yates County State Police
Rensselaer,Rensselaer Poly Tech Police
Schuyler,Schuyler County Sheriff
Nassau,Long Beach City PD
Richmond,County Total
Wayne,Wayne County Park PD
Dutchess,Dutchess County Sheriff
Albany,County Total
Westchester,Westchester County Park PD
Warren,Glens Falls City PD
Jefferson,Carthage Vg PD
Cattaraugus,Olean City PD
Montgomery,Amsterdam City PD
Onondaga,SUNY - Upstate Medical Center
Greene,Catskill Vg PD
Chautauqua,Chautauqua County (RR-RC)
Dutchess,Poughkeepsie Town PD
Ulster,Rosendale Town PD
Clinton,Clinton County Park PD
Delaware,Delaware County State Police
Nassau,Kings Point Vg PD
Ulster,Ulster County Park PD
Chautauqua,Ellicott Town PD
Lewis,County Total
Orange,Newburgh Town PD
Rensselaer,Troy City PD
Niagara,Lewiston Town PD
Monroe,Gates Town PD
Albany,SUNY - Albany
Niagara,Niagara County State Police
Greene,Hunter Town PD
Chemung,Horseheads Vg PD
Orange,Port Jervis City PD
Ulster,Ulster County Sheriff
Delaware,Colchester Town PD
Orange,Harriman Vg PD
Schuyler,Schuyler County Park PD
Orange,Newburgh Town PD
Chenango,Sherburne Vg PD
Chemung,Chemung County Sheriff
Jefferson,Sackets Harbor Vg PD
Franklin,Franklin County State Police
Delaware,Walton Vg PD
Broome,Johnson City Vg PD
Tioga,Owego Vg PD
Dutchess,Pine Plains Town PD
Saratoga,Saratoga County Park PD
Greene,Coxsackie Vg PD
Washington,Fort Edward Vg PD
Essex,Essex County State Police
Oneida,New York Mills Vg PD
Schenectady,Schenectady County State Police
Allegany,Friendship Town PD
Wayne,Savannah Town PD
Seneca,Waterloo Vg PD
Suffolk,Suffolk County (RR-LI)
Essex,County Total
Rensselaer,Troy City PD
Suffolk,East Hampton Town PD
Livingston,Livingston County State Police
Erie,Cheektowaga Town PD
Cayuga,Moravia Vg PD
Clinton,Rouses Point Vg PD
Onondaga,SUNY - Upstate Medical Center
Jefferson,Watertown City PD
Genesee,LeRoy Vg PD
Franklin,County Total
Washington,County Total
Fulton,County Total
Orange,Florida Vg PD
Rensselaer,East Greenbush Town PD
Rensselaer,Rensselaer City PD
Delaware,County Total
Nassau,Hempstead Vg PD
Livingston,Avon Vg PD
Suffolk,Suffolk County Park PD
Tompkins,Cayuga Heights Vg PD
St Lawrence,Ogdensburg City PD
Suffolk,Suffolk County Park PD
Suffolk,Suffolk County Park PD
Dutchess,Rhinebeck Vg PD
Tompkins,Cornell University Police
Nassau,Freeport Vg PD
Chenango,New Berlin Town PD
Rockland,Spring Valley Vg PD
Orange,Orange County MTA
Steuben,Steuben County State Police
Rensselaer,North Greenbush Town PD
Seneca,County Total
Suffolk,Nissequogue Vg PD
Monroe,Monroe County Park PD
Niagara,Lockport City PD
Westchester,Pound Ridge Town PD
Broome,Binghamton City PD
Yates,Yates County Sheriff
Cattaraugus,Cattaraugus County Park PD
Orange,Goshen Town PD
Steuben,Steuben County Sheriff
Chautauqua,Fredonia Vg PD
Dutchess,Wappingers Falls Vg PD
Nassau,Floral Park Vg PD
Herkimer,County Total
Lewis,Lewis County Park PD
Columbia,Germantown Town PD
Niagara,Niagara County State Police
Niagara,Niagara County Sheriff
Suffolk,Huntington Bay Vg PD
Herkimer,Herkimer County State Police
Orleans,Orleans County Park PD
Dutchess,Wappingers Falls Vg PD
Chenango,Chenango County Sheriff
Chemung,Chemung County Sheriff
Tompkins,County Total
Jefferson,West Carthage Vg PD
Onondaga,Jordan Vg PD
Kings,County Total
Westchester,Tuckahoe Vg PD
St Lawrence,Canton Vg PD
Oswego,Fulton City PD
Wayne,Wayne County State Police
Nassau,Port Washington Police District
Wayne,Wayne County Sheriff
Suffolk,Suffolk County Park PD
Oswego,Fulton City PD
Albany,Watervliet City PD
Nassau,Nassau County PD
Chautauqua,Jamestown City PD
Oneida,Whitesboro Vg PD
Warren,Warren County State Police
Genesee,LeRoy Vg PD
Putnam,Putnam County MTA
Suffolk,Quogue Vg PD
Schuyler,Schuyler County Park PD
Montgomery,Fort Plain Vg PD
Livingston,Livingston County (RR-RC)
Greene,Greene County Sheriff
Oneida,Sherrill City PD
Allegany,Bolivar Vg PD
Ontario,Ontario County Sheriff
Ontario,Phelps Vg PD
Delaware,Delaware County State Police
Jefferson,Jefferson County (RR-RC)
Herkimer,Herkimer Vg PD
Oneida,Oneida County Park PD
Ontario,Manchester Vg PD
Livingston,Livingston County Park PD
Herkimer,Herkimer Vg PD
Tioga,County Total
Erie,Lancaster Vg PD
Oswego,Oswego County Sheriff
Cattaraugus,Portville Vg PD
Niagara,Niagara Town PD
Onondaga,Onondaga County State Police
Nassau,Glen Cove City PD
Niagara,Niagara Town PD
Sullivan,Sullivan County Park PD
Region Total,Region Total
Schenectady,Scotia Vg PD
Chautauqua,Westfield Vg PD
Columbia,Columbia County (RR-RC)
Schoharie,Schoharie County (RR-D and H)
Clinton,Clinton County State Police
Ontario,County Total
Warren,Glens Falls City PD
Onondaga,Onondaga County Park Rangers
Wyoming,County Total
Hamilton,Hamilton County Sheriff
Franklin,Tupper Lake Vg PD
Chenango,County Total
Orange,Chester Vg PD
Steuben,County Total
Rensselaer,North Greenbush Town PD
Monroe,Monroe County (RR-CSX)
Steuben,Steuben County State Police
Albany,County Total
Steuben,Cohocton Town PD
Cayuga,Port Byron Vg PD
Allegany,County Total
Steuben,Hammondsport Vg PD
Cortland,Cortland City PD
Rockland,Rockland County Park PD
Nassau,Nassau County (RR-LI)
Westchester,Ossining Vg PD
Cayuga,Auburn City PD
Seneca,Seneca County Sheriff
Saratoga,County Total
Oneida,County Total
Rensselaer,Rensselaer County State Police
Rensselaer,Rensselaer City PD
Essex,Essex County State Police
Niagara,Niagara Town PD
Oneida,Whitestown Town PD
Seneca,Seneca County State Police
Suffolk,Riverhead Town PD
Niagara,County Total
Hamilton,County Total
Broome,County Total
Erie,County Total
Suffolk,Shelter Island Town PD
Albany,Albany County (RR-CSX)
Cortland,Cortland County State Police
Albany,Menands Vg PD
Chenango,Greene Vg PD
Schenectady,Schenectady County Sheriff
Greene,Windham Town PD
Dutchess,Fishkill Vg PD
Orange,Port Jervis City PD
Wayne,Wayne County Park PD
Columbia,Columbia County Park PD
Albany,Ravena Vg PD
Rockland,Rockland County Park PD
Onondaga,Onondaga County Park PD
Chenango,Sherburne Vg PD
Suffolk,Suffolk County State Police
Cattaraugus,Ellicottville Town PD
Jefferson,Cape Vincent Vg PD
Rockland,Suffern Vg PD
Tompkins,Dryden Vg PD
Monroe,County Total
Niagara,Niagara County Sheriff
Westchester,Scarsdale Vg PD
Westchester,Westchester County Park PD
Tompkins,Groton Vg PD
Orange,Mount Hope Town PD
Schoharie,Schoharie Vg PD
Genesee,Batavia City PD
Otsego,Otsego County Sheriff
Albany,Coeymans Town PD
Onondaga,Syracuse City PD
Erie,Lancaster Town PD
Wayne,Wayne County State Police
Allegany,Cuba Town PD
Suffolk,SUNY - Stony Brook
Dutchess,County Total
Oneida,New Hartford Town and Vg PD
Essex,Ticonderoga Town PD
Genesee,Batavia City PD
Broome,Endicott Vg PD
Chautauqua,Westfield Vg PD
Orange,Woodbury Town PD
Jefferson,Watertown City PD
Westchester,Mount Pleasant Town PD
Seneca,Seneca County Park PD
Oneida,Whitestown Town PD
Chenango,Chenango County Sheriff
Onondaga,Skaneateles Vg PD
Westchester,Westchester County MTA
Westchester,Westchester County Park PD
Ulster,Shawangunk Town PD
Schenectady,County Total
Saratoga,Corinth Vg PD
Rensselaer,Rensselaer City PD
Jefferson,Adams Vg PD
Erie,Tonawanda Town PD
Nassau,Hempstead Vg PD
Orange,Maybrook Vg PD
Monroe,Monroe County Park PD
Orange,Warwick Town PD
Westchester,Sleepy Hollow Vg PD
Allegany,Cuba Town PD
Schenectady,Schenectady City PD
Orleans,Orleans County Sheriff
Fulton,Fulton County Sheriff
Cayuga,Cayuga County State Police
Livingston,Caledonia Vg PD
Oneida,Oneida County Park PD
New York,County Total
Onondaga,Onondaga County Park PD
Orange,Orange County State Police
Onondaga,Onondaga County Park PD
Albany,SUNY - Albany (Plaza)
Albany,Colonie Town PD
Genesee,Batavia City PD
Erie,Eden Town PD
Ulster,Hurley Town PD
Westchester,Westchester Co Dept Pub Safety
Orange,Maybrook Vg PD
Suffolk,Amityville Vg PD
Allegany,Bolivar Vg PD
Schoharie,Cobleskill Vg PD
Essex,Essex County State Police
Columbia,Hudson City PD
Erie,County Total
Broome,Binghamton City PD
Albany,Altamont Vg PD
Washington,Fort Edward Vg PD
Cayuga,Cayuga County State Police
Saratoga,Saratoga County State Police
Westchester,Rye City PD
Putnam,Putnam Valley Town PD
Cattaraugus,Salamanca City PD
Westchester,New Rochelle City PD
Oswego,Oswego County Park PD
Putnam,Putnam County Sheriff
Delaware,County Total
Westchester,Croton-On-Hudson Vg PD
Greene,County Total
Lewis,Lowville Vg PD
Oswego,Oswego County State Police
Monroe,Monroe County State Police
Lewis,Lewis County Sheriff
Cayuga,Port Byron Vg PD
Broome,Binghamton City PD
Nassau,Glen Cove City PD
Nassau,Old Westbury Vg PD
Franklin,Malone Vg PD
Albany,Watervliet City PD
Erie,Hamburg Town PD
Columbia,Columbia County Park PD
Westchester,Mount Kisco Vg PD
Onondaga,County Total
Herkimer,Little Falls City PD
Wyoming,Warsaw Vg PD
Nassau,Malverne Vg PD
Monroe,Brockport Vg PD
Cayuga,Port Byron Vg PD
Erie,Orchard Park Town PD
Herkimer,Herkimer Vg PD
Westchester,Westchester County State Police
Cortland,Cortland County Sheriff
Nassau,Long Beach City PD
Westchester,Mamaroneck Town PD
Oswego,Oswego County Sheriff
Schenectady,Scotia Vg PD
Schoharie,Cobleskill Vg PD
Wyoming,Attica Vg PD
Hamilton,Hamilton County State Police
Monroe,Gates Town PD
Otsego,Otsego County Sheriff
Rockland,Suffern Vg PD
Broome,Endicott Vg PD
Orleans,County Total
Monroe,County Total
Oswego,Oswego County State Police
Oswego,County Total
Westchester,Peekskill City PD
Rensselaer,Rensselaer County State Police
Onondaga,Onondaga County Sheriff
Westchester,Croton-Kensico PCT (NYC-BWSP)
Orleans,County Total
Steuben,County Total
Livingston,County Total
Suffolk,Shelter Island Town PD
Genesee,Genesee County State Police
Chautauqua,Lakewood-Busti PD
Ulster,Olive Town PD
Steuben,Canisteo Vg PD
Chautauqua,SUNY College At Fredonia
Orange,Orange County Park PD
Westchester,Scarsdale Vg PD
Dutchess,Fishkill Vg PD
Albany,Albany County (RR-RC)
Chenango,Bainbridge Vg PD
Tompkins,Cornell University Police
Tompkins,Tompkins County Sheriff
Ontario,County Total
Broome,Broome County Park PD
Genesee,Batavia City PD
Dutchess,Fishkill Town PD
Wayne,Clyde Vg PD
Tioga,County Total
Westchester,Sleepy Hollow Vg PD
Nassau,Nassau County (RR-LI)
Chautauqua,Dunkirk City PD
Westchester,Bedford Town PD
Saratoga,Saratoga County State Police
Broome,Broome County Park PD
St Lawrence,SUNY College at Canton
Albany,SUNY - Albany (Plaza)
Orange,Washingtonville Vg PD
Westchester,White Plains City PD
Ulster,Ulster Town PD
Westchester,Irvington Vg PD
Chautauqua,Fredonia Vg PD
Rockland,South Nyack-Grand View PD
Seneca,County Total
Erie,Orchard Park Town PD
Westchester,New Rochelle City PD
Herkimer,County Total
Hamilton,Inlet Town PD
Broome,County Total
Steuben,County Total
Saratoga,Saratoga Springs City PD
Columbia,Columbia County State Police
Nassau,Oyster Bay Cove Vg PD
Chautauqua,Ellicott Town PD
Erie,Lancaster Town PD
Suffolk,Westhampton Beach Vg PD
Oneida,Utica City PD
Oswego,Phoenix Vg PD
Fulton,County Total
Dutchess,Poughkeepsie City PD
Westchester,North Castle Town PD
Tioga,Tioga County (RR-RC) 
Oneida,Whitestown Town PD
Wyoming,Warsaw Vg PD
Cattaraugus,Cattaraugus Vg PD
Suffolk,Westhampton Beach Vg PD
Ontario,Ontario County State Police
St Lawrence,SUNY College At Potsdam
Franklin,Malone Vg PD
Suffolk,East Hampton Town PD
Suffolk,Shelter Island Town PD
Onondaga,Onondaga County Park Rangers
Washington,Cambridge Vg PD
St Lawrence,SUNY College At Potsdam
Orange,Tuxedo Town PD
Albany,Albany County State Police
Madison,Oneida City PD
Saratoga,Saratoga County Sheriff
Orange,Newburgh Town PD
Westchester,Hastings-on-Hudson Vg PD
Rockland,Piermont Vg PD
Clinton,Clinton County State Police
Nassau,Garden City Vg PD
Erie,Angola Vg PD
Fulton,Gloversville City PD
Oneida,SUNY College At Utica/Rome
Essex,Lake Placid Vg PD
Ontario,Geneva City PD
Jefferson,Jefferson County Park PD
Chenango,New Berlin Vg PD
Orange,Goshen Vg PD
Westchester,Rye Brook Vg PD
Cayuga,Auburn City PD
Broome,Deposit Vg PD
Oneida,Oneida County State Police
Westchester,Bronxville Vg PD
Greene,Hunter Town PD
Washington,Whitehall Vg PD
Orleans,Medina Vg PD
Cattaraugus,Olean City PD
Steuben,Cohocton Town PD
Steuben,Canisteo Vg PD
Allegany,Wellsville Vg PD
Yates,Penn Yan Vg PD
Herkimer,Herkimer Vg PD
Yates,County Total
Greene,Catskill Vg PD
Albany,Albany County State Police
Saratoga,Saratoga Springs City PD
Sullivan,Sullivan County Sheriff
Oneida,Camden Vg PD
Essex,Essex County State Police
Erie,Brant Town PD
Orange,Port Jervis City PD
Erie,Kenmore Vg PD
Niagara,Niagara Falls City PD
Steuben,Steuben County (RR-RC)
Orleans,Holley Vg PD
Putnam,Cold Spring Vg PD
Columbia,Greenport Town PD
Washington,Greenwich Vg PD
Albany,Albany County Park PD
Putnam,Putnam County MTA
Monroe,Irondequoit Town PD
Erie,Eden Town PD
Niagara,Niagara County Sheriff
Suffolk,Shelter Island Town PD
Orleans,Orleans County State Police
Cattaraugus,Franklinville Vg PD
Ontario,Shortsville Vg PD
Erie,Tonawanda Town PD
Ulster,Olive Town PD
Cattaraugus,Cattaraugus County (RR-RC)
Onondaga,Baldwinsville Vg PD
Suffolk,Suffolk County Sheriff
Onondaga,Solvay Vg PD
Herkimer,Webb Town PD
Monroe,Brockport Vg PD
Westchester,Greenburgh Town PD
Albany,Menands Vg PD
Madison,Oneida City PD
Monroe,Ogden Town PD
Wayne,Clyde Vg PD
Erie,Cheektowaga Town PD
Clinton,Clinton County State Police
Otsego,SUNY College At Oneonta
Nassau,Centre Island Vg PD
Fulton,Gloversville City PD
Warren,Warren County State Police
Herkimer,Little Falls City PD
Monroe,Irondequoit Town PD
Jefferson,Black River Vg PD
Cayuga,County Total
Lewis,Lewis County State Police
Wayne,Newark Vg PD
Wayne,Wolcott Vg PD
Erie,Akron Vg PD
Nassau,Freeport Vg PD
Orange,Cornwall-on-Hudson Vg PD
Monroe,Greece Town PD
Erie,Tonawanda Town PD
Wyoming,Arcade Vg PD
Cattaraugus,Endicottville Vg PD
Cortland,SUNY College At Cortland
Westchester,White Plains City PD
Washington,Greenwich Vg PD
Madison,SUNY College At Morrisville
Orange,Maybrook Vg PD
Nassau,Nassau County Park PD
Dutchess,Northeast T and Millerton V PD
Chautauqua,Dunkirk City PD
Bronx,County Total
Wyoming,Wyoming County Park PD
Westchester,Croton-On-Hudson Vg PD
Sullivan,Liberty Vg PD
Putnam,Putnam County Sheriff
Broome,Port Dickinson Vg PD
Westchester,Rye City PD
Onondaga,Jordan Vg PD
Tompkins,Freeville Vg PD
Delaware,Sidney Vg PD
Cortland,Cortland City PD
Herkimer,Little Falls City PD
Jefferson,Sackets Harbor Vg PD
Columbia,Columbia County Park PD
Suffolk,Huntington Bay Vg PD
Oneida,Clinton Vg PD
Schuyler,County Total
Rockland,Nyack Vg PD
Jefferson,Clayton Vg PD
Westchester,Westchester County Park PD
Jefferson,Clayton Vg PD
Chautauqua,Chautauqua County Sheriff
Greene,Greene County Sheriff
Steuben,Corning City PD
Columbia,Copake Town PD
Orange,Newburgh Town PD
Chautauqua,Lakewood-Busti PD
Orange,Blooming Grove Town PD
Oneida,Oneida County Sheriff
Orange,Warwick Town PD
Westchester,Mamaroneck Vg PD
Dutchess,Poughkeepsie Town PD
St Lawrence,St Lawrence County State Police
Broome,Vestal Town PD
Delaware,Delaware County Sheriff
Suffolk,Riverhead Town PD
Ulster,Ulster County Sheriff
Ontario,Clifton Springs Vg PD
Chenango,Chenango County Park PD
Saratoga,Corinth Vg PD
Wyoming,Wyoming County Park PD
Livingston,Livingston County Sheriff
Dutchess,County Total
Madison,Chittenango Vg PD
Cattaraugus,Olean City PD
Monroe,Brockport Vg PD
Montgomery,Fort Plain Vg PD
Oswego,Oswego County Sheriff
Jefferson,Black River Vg PD
Orange,Newburgh Town PD
Suffolk,Lloyd Harbor Vg PD
Onondaga,Syracuse University
Suffolk,County Total
Monroe,County Total
Nassau,Oyster Bay Cove Vg PD
Otsego,Oneonta City PD
Livingston,SUNY College At Geneseo
Schoharie,County Total
Schoharie,Schoharie County Sheriff
Wyoming,Arcade Vg PD
Nassau,Nassau County State Police
Westchester,Irvington Vg PD
Cattaraugus,Ellicottville Town PD
Wyoming,Arcade Vg PD
Yates,County Total
Onondaga,Manlius Town PD
Broome,Broome County Park PD
Schoharie,Schoharie Vg PD
Tompkins,Trumansburg Vg PD
Oneida,Camden Vg PD
Orleans,Holley Vg PD
St Lawrence,Massena Vg PD
Dutchess,County Total
Jefferson,Dexter Vg PD
Albany,Albany County Park PD Headquarters
Otsego,Otsego County Sheriff
Rockland,Suffern Vg PD
Westchester,Croton-On-Hudson Vg PD
Nassau,Nassau County PD
Westchester,County Total
Westchester,Elmsford Vg PD
Rockland,Rockland County State Police
Delaware,Colchester Town PD
Oswego,Central Square Vg PD
Jefferson,Jefferson County Sheriff
Ontario,County Total
Jefferson,Cape Vincent Vg PD
Clinton,County Total
Westchester,White Plains City PD
Erie,Hamburg Vg PD
Westchester,Yonkers City PD
Erie,West Seneca Town PD
Putnam,Putnam County State Police
Broome,Broome County Park PD
Jefferson,Glen Park Vg PD
Ulster,Kingston City PD
Saratoga,South Glens Falls Vg PD
Westchester,Yorktown Town PD
Niagara,Niagara County Sheriff
Sullivan,Monticello Vg PD
Tompkins,Tompkins County Park PD
Orange,New Windsor Town PD
St Lawrence,SUNY College At Canton
Steuben,Steuben County Sheriff
Onondaga,North Syracuse Vg PD
Erie,Tonawanda Town PD
Cayuga,Auburn City PD
Tompkins,Ithaca City PD
Delaware,County Total
Monroe,Monroe County Park PD
Onondaga,Syracuse City PD
Montgomery,Montgomery County (RR-CSX)
Erie,Depew Vg PD
Orange,Cornwall-on-Hudson Vg PD
Herkimer,Frankfort Town PD
St Lawrence,Norfolk Town PD
Nassau,Malverne Vg PD
Nassau,County Total
Tompkins,Ithaca College PD
Chautauqua,Lakewood-Busti PD
Wyoming,Arcade Vg PD
Erie,Cheektowaga Town PD
Allegany,Alfred Vg PD
Chautauqua,Ellicott Town PD
Oswego,Central Square Vg PD
Dutchess,Poughkeepsie Town PD
Ulster,Kingston City PD
Erie,Erie County (RR-CSX)
Suffolk,Southold Town PD
Broome,Binghamton City PD
Chautauqua,Jamestown City PD
Cayuga,Cayuga County Park PD
Kings,County Total
Oneida,Oneida County State Police
Allegany,County Total
Wyoming,Wyoming County Sheriff
Nassau,Long Beach City PD
Erie,Erie County Sheriff
Livingston,Caledonia Vg PD
Broome,Broome County Sheriff
Seneca,Seneca County Park PD
Westchester,Westchester County Park PD
Rensselaer,County Total
Herkimer,Frankfort Vg PD
Cortland,Mcgraw Vg PD
Seneca,Waterloo Vg PD
St Lawrence,SUNY College At Potsdam
Westchester,New Castle Town PD
Schenectady,Niskayuna Town PD
Tioga,County Total
Greene,Greene County Sheriff
Rockland,Rockland County Park PD
Steuben,Cohocton Town PD
Onondaga,Skaneateles Vg PD
Columbia,Greenport Town PD
Westchester,Sleepy Hollow Vg PD
Genesee,LeRoy Vg PD
Ulster,Kingston City PD
Livingston,Mount Morris Vg PD
Nassau,Oyster Bay Cove Vg PD
Steuben,Steuben County State Police
Westchester,Mount Kisco Vg PD
Schenectady,County Total
Erie,East Aurora-Town Of Aurora PD
Westchester,Tarrytown Vg PD
Suffolk,Southold Town PD
Cattaraugus,Cattaraugus County State Police
Lewis,County Total
Queens,County Total
Washington,Hudson Falls Vg PD
Monroe,Greece Town PD
Fulton,Fulton County State Police
Westchester,Pound Ridge Town PD
Onondaga,Camillus Town and Vg PD
Oneida,New York Mills Vg PD
Greene,Durham Town PD
Washington,Whitehall Vg PD
Cayuga,Cayuga County Park PD
Tompkins,Dryden Vg PD
Rensselaer,Rensselaer Poly Tech Police
Oneida,Utica City PD
Orange,Washingtonville Vg PD
Clinton,Rouses Point Vg PD
Herkimer,Dolgeville Vg PD
Washington,Granville Vg PD
Rensselaer,County Total
Rensselaer,East Greenbush Town PD
Rockland,Orangetown Town PD
Dutchess,Dutchess County Park PD
Orange,Blooming Grove Town PD
Steuben,Addison Vg PD
Tompkins,Ithaca City PD
Oneida,New Hartford Town and Vg PD
Chemung,Elmira Town PD
Nassau,Kensington Vg PD
Nassau,Lynbrook Vg PD
Tompkins,Dryden Vg PD
Wyoming,Wyoming County State Police
Suffolk,County Total
Jefferson,Sackets Harbor Vg PD
Delaware,Hancock Vg PD
Broome,Broome County State Police
Chemung,Southport Town PD
Chemung,Chemung County State Police
Oneida,Boonville Vg PD
Wayne,Sodus Vg PD
Chenango,Chenango County Sheriff
Putnam,Cold Spring Vg PD
Onondaga,Liverpool Vg PD
Monroe,East Rochester Vg PD
Chemung,Elmira Heights Vg PD
Jefferson,Black River Vg PD
Niagara,Middleport Vg PD
Nassau,Nassau County State Police
Chautauqua,Lakewood-Busti PD
Westchester,Dobbs Ferry Vg PD
Lewis,Lewis County State Police
Cattaraugus,Allegany Vg PD
Orleans,Holley Vg PD
Ulster,Ashokan PCT (NYC-BWSP)
Orange,Orange County Sheriff
