County,Agency
Cayuga,Cayuga County (RR-RC)
Tompkins,Trumansburg Vg PD
Broome,Vestal Town PD
Washington,Washington County Sheriff
Rensselaer,County Total
Albany,Bethlehem Town PD
Genesee,LeRoy Vg PD
Livingston,Livingston County Sheriff
Cattaraugus,Cattaraugus County Park PD
Nassau,Kensington Vg PD
Suffolk,Amityville Vg PD
Seneca,Seneca County State Police
Sullivan,Sullivan County State Police
Dutchess,Dutchess County State Police
Montgomery,Amsterdam City PD
Albany,Colonie Town PD
Delaware,Sidney Vg PD
Erie,East Aurora-Town Of Aurora PD
Washington,County Total
Franklin,Malone Vg PD
Hamilton,Inlet Town PD
Fulton,Fulton County Sheriff
Schoharie,Schoharie Vg PD
Herkimer,Frankfort Town PD
Jefferson,Jefferson County Park PD
Chenango,County Total
Franklin,Malone Vg PD
Columbia,Philmont Vg PD
Dutchess,Dutchess County Sheriff
Schuyler,Schuyler County State Police
Chautauqua,Ellicott Town PD
Erie,West Seneca Town PD
Hamilton,Hamilton County Sheriff
Oneida,Oneida County State Police
Orleans,Medina Vg PD
Steuben,Hammondsport Vg PD
Madison,Hamilton Vg PD
Steuben,Painted Post Vg PD
Hamilton,Hamilton County Sheriff
Westchester,Eastchester Town PD
Oneida,County Total
Washington,Washington County State Police
Westchester,Croton-On-Hudson Vg PD
Westchester,Pleasantville Vg PD
Rensselaer,Troy City PD
Rensselaer,Rensselaer County State Police
Monroe,Brighton Town PD
Madison,Cazenovia Vg PD
Nassau,Garden City Vg PD
Columbia,Columbia County (RR-RC)
Montgomery,County Total
Rensselaer,Rensselaer City PD
Onondaga,Baldwinsville Vg PD
Livingston,Avon Vg PD
Nassau,Kensington Vg PD
Westchester,Bronxville Vg PD
Albany,Menands Vg PD
Nassau,Rockville Centre Vg PD
Erie,Cheektowaga Town PD
Steuben,Painted Post Vg PD
Washington,County Total
Suffolk,East Hampton Vg PD
Steuben,Corning City PD
Erie,Hamburg Vg PD
Orange,Goshen Town PD
Ulster,SUNY College at New Paltz
Fulton,Johnstown City PD
Warren,County Total
Onondaga,Camillus Town and Vg PD
Wayne,Wayne County Sheriff
Ontario,Shortsville Vg PD
Cortland,Cortland County State Police
Otsego,County Total
Rockland,Haverstraw Town PD
Greene,Greene County State Police
Ulster,County Total
Chautauqua,Chautauqua County Sheriff
Ulster,Olive Town PD
Wyoming,Attica Vg PD
Rockland,Spring Valley Vg PD
Saratoga,Stillwater Town PD
Tioga,Tioga County State Police
Franklin,Tupper Lake Vg PD
Rensselaer,Rensselaer Poly Tech Police
Onondaga,SUNY - Upstate Medical Center
Chemung,Elmira City PD
Orange,Cornwall-on-Hudson Vg PD
Kings,County Total
Essex,Essex County State Police
Oneida,Oneida County Sheriff
Clinton,Rouses Point Vg PD
Delaware,Delaware County Sheriff
Nassau,Malverne Vg PD
New York,County Total
Orange,Florida Vg PD
Steuben,Wayland Vg PD
Broome,Special Investigator Task Force
Saratoga,Mechanicville City PD
Onondaga,Camillus Town and Vg PD
Allegany,Bolivar Vg PD
Westchester,Dobbs Ferry Vg PD
Onondaga,DeWitt Town PD
Orleans,County Total
Westchester,Briarcliff Manor Vg PD
Broome,Johnson City Vg PD
Livingston,Livingston County State Police
Oneida,Kirkland Town PD
Niagara,Niagara Falls City PD
Steuben,Addison Vg PD
St Lawrence,SUNY College At Potsdam
Orange,Highland Falls Vg PD
Orange,Deerpark Town PD
Westchester,Pelham Vg PD
Warren,Warren County State Police
Westchester,Greenburgh Town PD
Orange,Goshen Vg PD
Suffolk,East Hampton Town PD
Ulster,Ulster County State Police
Fulton,Northville Vg PD
Rockland,Orangetown Town PD
Cattaraugus,Salamanca City PD
Chemung,Horseheads Vg PD
Westchester,Mount Vernon City PD
Lewis,Lewis County Sheriff
Otsego,County Total
Monroe,Wheatland Town PD
Delaware,SUNY College At Delhi
Westchester,Tarrytown Vg PD
Nassau,Nassau County (RR-LI)
Erie,Orchard Park Town PD
Orange,Walden Vg PD
Suffolk,SUNY - Stony Brook
Hamilton,Hamilton County Sheriff
Onondaga,Liverpool Vg PD
Schuyler,Watkins Glen Vg PD
Essex,County Total
Steuben,Avoca Vg PD
Clinton,Plattsburgh City PD
Westchester,Cortlandt Town PD
Tompkins,Tompkins County Park PD
Rockland,Rockland County MTA
Onondaga,Onondaga County Park PD
Nassau,Freeport Vg PD
Rensselaer,Rensselaer County State Police
Livingston,Livingston County Sheriff
Allegany,Independence Town PD
Saratoga,Stillwater Town PD
Onondaga,Dewitt Town PD
Rensselaer,Nassau Vg PD
Onondaga,County Total
Oneida,Oneida County (RR-RC)
Seneca,Waterloo Vg PD
Ulster,Lloyd Town PD
Queens,County Total
Otsego,County Total
Saratoga,Corinth Vg PD
Albany,Cohoes City PD
New York,County Total
Essex,Ticonderoga Town PD
Ulster,Ulster Town PD
Orange,Newburgh City PD
Orleans,Medina Vg PD
Onondaga,Dewitt Town PD
Ontario,Ontario County State Police
Onondaga,Cicero Town PD
Jefferson,Watertown City PD
Westchester,Bedford Town PD
Herkimer,Mohawk Vg PD
Cayuga,Cayuga County Park PD
Warren,Warren County Sheriff
Oneida,Oneida County Park PD
St Lawrence,Ogdensburg City PD
Putnam,Putnam County MTA
Rockland,Stony Point Town PD
Onondaga,East Syracuse Vg PD
Herkimer,County Total
Westchester,Harrison Town PD
Tompkins,Groton Vg PD
St Lawrence,Potsdam Vg PD
Albany,Cohoes City PD
Herkimer,Webb Town PD
Cattaraugus,County Total
Sullivan,Woodridge Vg PD
Cortland,Cortland County State Police
Monroe,Rochester City PD
Niagara,Niagara County Park PD
Chenango,Oxford Vg PD
Orange,Chester Vg PD
Cattaraugus,Cattaraugus Vg PD
Albany,Guilderland Town PD
Westchester,Lewisboro Town PD
Westchester,Port Chester Vg PD
Westchester,Greenburgh Town PD
Saratoga,Mechanicville City PD
Cattaraugus,Franklinville Vg PD
Essex,Ticonderoga Town PD
Putnam,Putnam County Park PD
St Lawrence,Ogdensburg City PD
Schoharie,Cobleskill Vg PD
Greene,Athens Vg PD
Sullivan,Sullivan County (RR-RC) 
Washington,Greenwich Vg PD
Rensselaer,Nassau Vg PD
Westchester,Tuckahoe Vg PD
Erie,Lancaster Vg PD
Onondaga,Onondaga County Park PD
Livingston,Geneseo Vg PD
Wayne,Sodus Vg PD
Essex,Essex County State Police
Tompkins,Ithaca College PD
Washington,Granville Vg PD
Chemung,Elmira City PD
Oswego,Phoenix Vg PD
Albany,Watervliet City PD
Delaware,Delhi Vg PD
