Area, County
Albany County
Albany-Rensselaer-Schenectady Counties
Albany-Schenectady-Troy Metro Area
Allegany County
Allegany-Cattaraugus
Amsterdam  NY Micropolitan Statistical Area
Auburn  NY Micropolitan Statistical Area
BALANCE OF STATE
Batavia  NY Micropolitan Statistical Area
Binghamton Metro Area
Bronx County
Broome County
Broome-Tioga
Buffalo-Niagara Falls Metro Area
Capital Region
Cattaraugus County
Cayuga County
Cayuga-Cortland
Central New York Region
Chautauqua
Chautauqua County
Chemung County
Chemung-Schuyler-Steuben
Chenango County
Chenango-Delaware-Otsego
Clinton County
Clinton-Essex-Franklin-Hamilton
Columbia County
Columbia-Greene
Corning  NY Micropolitan Statistical Area
Cortland County
Cortland  NY Micropolitan Statistical Area
Delaware County
Dutchess
Dutchess County
Dutchess-Putnam Metropolitan Division
Elmira Metro Area
Erie
Erie County
Essex County
Finger Lakes Region
Franklin County
Fulton County
Fulton-Montgomery-Schoharie
Genesee County
Genesee-Livingston-Orleans-Wyoming
Glens Falls Metro Area
Gloversville  NY Micropolitan Statistical Area
Greene County
Hamilton County
Herkimer County
Herkimer-Madison-Oneida
Hudson Valley Region
Hudson  NY Micropolitan Statistical Area
Ithaca Metro Area
Jamestown-Dunkirk-Fredonia  NY Micropolitan Statistical Area
Jefferson County
Jefferson-Lewis
Kings County
Kingston Metro Area
Lewis County
Livingston County
Long Island Region
Madison County
Malone  NY Micropolitan Statistical Area
Mohawk Valley Region
Monroe
Monroe County
Montgomery County
Nassau County
Nassau-Suffolk Metropolitan Division
New York City
New York City Region
New York County
New York State
Niagara
Niagara County
North Country Region
Ogdensburg-Massena  NY Micropolitan Statistical Area
Olean  NY Micropolitan Statistical Area
Oneida County
Oneonta  NY Micropolitan Statistical Area
Onondaga
Onondaga County
Ontario County
Ontario-Seneca-Wayne-Yates
Orange
Orange County
Orange-Rockland-Westchester Metro Area
Orleans County
Oswego
Oswego County
Otsego County
Plattsburgh  NY Micropolitan Statistical Area
Putnam County
Putnam-Balance Of Westchester
Queens County
Rensselaer County
Richmond County
Rochester Metro Area
Rockland
Rockland County
Saratoga County
Saratoga-Warren-Washington
Schenectady County
Schoharie County
Schuyler County
Seneca County
Seneca Falls  NY Micropolitan Statistical Area
Southern Tier Region
St. Lawrence
St. Lawrence County
Steuben County
Suffolk
Suffolk County
Sullivan
Sullivan County
Syracuse Metro Area
Tioga County
Tompkins
Tompkins County
Ulster
Ulster County
Utica-Rome Metro Area
Warren County
Washington County
Watertown-Fort Drum Metro Area
Wayne County
Westchester County
Western New York Region
Wyoming County
Yates County
